Name,Code,Type,Extent,Data Source,Remarks,Revision Date
Anguilla 1957 / British West Indies Grid,2000,projected,Anguilla - onshore,EPSG,,"March 7, 2000"
Antigua 1943 / British West Indies Grid,2001,projected,Antigua - onshore,EPSG,,"March 7, 2000"
Dominica 1945 / British West Indies Grid,2002,projected,Dominica - onshore,EPSG,,"March 7, 2000"
Grenada 1953 / British West Indies Grid,2003,projected,Grenada and southern Grenadine…,EPSG,,"March 7, 2000"
Montserrat 1958 / British West Indies Grid,2004,projected,Montserrat - onshore,EPSG,,"March 7, 2000"
St. Kitts 1955 / British West Indies Grid,2005,projected,St Kitts and Nevis - onshore,EPSG,,"February 3, 2006"
St. Lucia 1955 / British West Indies Grid,2006,projected,St Lucia - onshore,EPSG,,"February 3, 2006"
St. Vincent 45 / British West Indies Grid,2007,projected,St Vincent and the Grenadines…,EPSG,,"February 3, 2006"
NAD27(CGQ77) / SCoPQ zone 3,2009,projected,Canada - Quebec - east of 60°W,EPSG,,"June 30, 2011"
NAD27(CGQ77) / SCoPQ zone 4,2010,projected,Canada - Quebec - 63°W to 60°W,EPSG,,"March 7, 2000"
NAD27(CGQ77) / SCoPQ zone 5,2011,projected,Canada - Quebec - 66°W to 63°W,EPSG,,"March 7, 2000"
NAD27(CGQ77) / SCoPQ zone 6,2012,projected,Canada - Quebec - 69°W to 66°W,EPSG,,"March 7, 2000"
NAD27(CGQ77) / SCoPQ zone 7,2013,projected,Canada - Quebec - 72°W to 69°W,EPSG,,"March 7, 2000"
NAD27(CGQ77) / SCoPQ zone 8,2014,projected,Canada - Quebec - 75°W to 72°W,EPSG,,"March 7, 2000"
NAD27(CGQ77) / SCoPQ zone 9,2015,projected,Canada - Quebec - 78°W to 75°W,EPSG,,"March 7, 2000"
NAD27(CGQ77) / SCoPQ zone 10,2016,projected,Canada - Quebec - west of 78°W,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 8,2017,projected,Canada - Ontario - east of 75°…,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 9,2018,projected,Canada - Ontario - 78°W to 75°…,EPSG,,"March 7, 2000"
NAD27(76) / MTM zone 10,2019,projected,Canada - Ontario - MTM zone 10,EPSG,,"March 7, 2000"
